Drivers;R1;R2;R3;R4;R5;R6;R7;R8;R9;R10
$GFC-MMS_1$;25;35;53;65;75;93;105;120;135;147
$GFC-AVS_2$;15;33;58;73;88;113;131;149;161;179
TITA1;4;6;7;9;11;15;17;18;22;28
TITA2;2;3;5;6;7;8;9;11;12;14
INFERNO1;12;27;39;57;75;87;102;127;152;167
INFERNO2;10;22;26;36;61;71;81;85;87;95
BERWIN1;18;43;58;66;72;80;88;94;104;114
BERWIN2;8;16;26;51;63;78;103;113;121;146
EVO1;6;12;20;24;32;34;40;52;60;64
EVO2;1;5;11;17;21;27;31;39;45;47
